MacAddress,Company
DC:90:88,HUAWEI TECHNOLOGIES CO.
5C:56:ED,3pleplay Electronics Private Limited
70:B3:D5:23:F,ETA-USA
34:66:79,HUAWEI TECHNOLOGIES CO.
48:74:10,Cisco Systems
70:B3:D5:3C:4,Hagiwara Solutions Co.
A0:73:32,Cashmaster International Limited
00:15:8F,NTT Advanced Technology Corporation
40:FC:89,ARRIS Group
00:1C:94,LI-COR Biosciences
00:25:5D,Morningstar Corporation
94:3E:FD:6,Shenzhen Gigaopto Technology Co.
80:3F:5D,Winstars Technology Ltd
24:86:25,IEEE Registration Authority
14:28:76,Apple
A0:5A:A4,Grand Products Nevada
00:50:C2:B8:5,SilverNet
70:B3:D5:05:6,MIRAE INFORMATION TECHNOLOGY CO.
24:69:68,TP-LINK TECHNOLOGIES CO.
00:0A:40,Crown Audio -- Harmanm International
CC:9E:00,Nintendo Co.
00:06:7A,JMP Systems
58:10:31,Hon Hai Precision IND.CO.
00:03:42,Nortel Networks
8C:1F:64:80:0,Shenzhen SDG Telecom Equipment Co.
2C:C4:4F:1,Joyoful
C8:EE:08,TANGTOP TECHNOLOGY CO.
78:CB:68,DAEHAP HYPER-TECH
7C:6D:A6,Superwave Group LLC
70:B3:D5:11:C,Samriddi Automations Pvt. Ltd.
A0:A0:DC,Huawei Device Co.
F8:F5:19,Rulogic Inc.
00:90:9B,MARKEM-IMAJE
8C:1F:64:CE:E,DISPLAX S.A.
00:50:C2:1B:8,Electronic Systems Development
CC:50:1C,KVH Industries
C0:2D:2E,China Mobile Group Device Co.
88:E6:03,Avotek corporation
D0:49:7C,OnePlus Technology (Shenzhen) Co.
00:50:2E,CAMBEX CORPORATION
38:90:52,HUAWEI TECHNOLOGIES CO.
00:17:5A,Cisco Systems
00:40:A7,ITAUTEC PHILCO S.A.
8C:1F:64:C2:8,Tornado Spectral Systems Inc.
00:03:EB,Atrica
00:01:6B,LightChip
D8:93:D4,Xiaomi Communications Co Ltd
8C:1F:64:F3:C,Microlynx Systems Ltd
00:1B:C5:09:3,Ambient Devices
B0:3B:1B,Kontrolnext Technology (Beijing) Ltd.
C8:9F:0C,Motorola Mobility LLC
40:37:AD,Macro Image Technology
04:25:F0,Nokia
00:03:12,TRsystems GmbH
A4:AE:12,Hon Hai Precision Ind. Co.
04:E1:C8,IMS Solu????es em Energia Ltda.
E0:36:E3,Stage One International Co.
3C:FA:D3:4,GRG Banking Technology Co.
88:78:9C,Game Technologies SA
A4:D1:8C,Apple
0C:02:27,Technicolor CH USA Inc.
00:50:C2:86:E,HANYANG ELECTRIC CP.
70:B3:D5:3C:E,Aditec GmbH
00:15:96,ARRIS Group
C8:FF:BF:4,Beijing Jingyibeifang Instrument Co.
70:B3:D5:14:4,GS Elektromedizinsiche Ger??te G. Stemple GmbH
A8:53:7D,Mist Systems
00:1C:C6,ProStor Systems
30:94:35,vivo Mobile Communication Co.
00:8D:F4:C,Creative Security Technology Inc.
00:B0:64,Cisco Systems
00:07:84,Cisco Systems
D8:0D:E3,FXI TECHNOLOGIES AS
80:3B:F6,LOOK EASY INTERNATIONAL LIMITED
94:D3:31,Xiaomi Communications Co Ltd
00:1D:0E,Agapha Technology co.
A8:0C:63,HUAWEI TECHNOLOGIES CO.
3C:F5:2C,DSPECIALISTS GmbH
00:80:18,KOBE STEEL
00:03:E0,ARRIS Group
00:17:EB,Texas Instruments
DC:EE:06,HUAWEI TECHNOLOGIES CO.
6C:79:B8,Texas Instruments
E8:C7:CF,Wistron Neweb Corporation
18:6A:81,Sagemcom Broadband SAS
50:4A:5E,Masimo Corporation
F4:DB:E3,Apple
00:D0:08,MACTELL CORPORATION
00:1B:B7,Alta Heights Technology Corp.
40:EE:DD,HUAWEI TECHNOLOGIES CO.
00:50:C2:31:4,MicroBee Systems
00:40:01,Zero One Technology Co. Ltd.
4C:EE:B0,SHC Netzwerktechnik GmbH
28:F5:2B,FN-LINK TECHNOLOGY Ltd.
10:63:A3:C,FLAT-PRO LLC
4C:C2:06,Somfy
C8:1F:EA,Avaya Inc
70:B3:D5:01:5,EN ElectronicNetwork Hamburg GmbH
A0:E0:6D,Fiberhome Telecommunication Technologies Co.
BC:E6:3F,Samsung Electronics Co.
DC:A9:04,Apple
8C:1F:64:0F:3,LSI
88:78:73,Intel Corporate
00:50:C2:F8:2,Sincair Systems International
38:A8:CD:3,Dongguan Fyrnetics Co.
4C:74:87,Leader Phone Communication Technology Co.
64:33:B5:5,Revo Smart Technologies co.
78:25:AD,Samsung Electronics Co.
08:DA:33:0,Smart and connective
44:1C:12,Technicolor CH USA Inc.
DC:A6:BD,Beijing Lanbo Technology Co.
00:0C:AF,TRI TERM CO.
70:B3:D5:91:2,VERTEL DIGITAL PRIVATE LIMITED
A4:82:69,Datrium
02:07:01,RACAL-DATACOM
1C:00:42,NARI Technology Co.
00:50:C2:80:2,Private
08:BA:22,Swaive Corporation
8C:1F:64:F7:F,Vision Systems Safety Tech
8C:1F:64:E5:E,BRICKMAKERS GmbH
04:C3:E6,IEEE Registration Authority
00:21:4E,GS Yuasa Power Supply Ltd.
5C:17:D3,LGE 
14:DB:85,S NET MEDIA
E4:56:14,Suttle Apparatus
00:1E:C2,Apple
6C:41:0E,Cisco Systems
90:B9:31,Apple
00:26:90,I DO IT
00:04:76,3COM
40:A1:08,Motorola (Wuhan) Mobility Technologies Communication Co.
00:50:C2:07:D,Caspian Networks
C8:AC:35,PiLink Co.
84:C9:B2,D-Link International
EC:9A:0C:6,Seek Thermal
B0:41:1D,ITTIM Technologies
2C:61:04,SHENZHEN FENGLIAN TECHNOLOGY CO.
40:D8:55:0B:9,WxBR Sistemas de Telecomunicacoes Ltda
00:22:23,TimeKeeping Systems
8C:1F:64:0A:B,Norbit ODM AS
8C:E9:FF,Dell Inc.
00:21:30,Keico Hightech Inc.
18:32:19,EM Microelectronic
CC:31:2A,HUIZHOU TCL COMMUNICATION ELECTRON CO.
18:34:51,Apple
00:12:57,LeapComm Communication Technologies Inc.
70:B3:D5:9D:8,JOLANYEE  Technology Co.
5A:73:CF,Gogo Business Aviation
00:22:25,Thales Avionics Ltd
B8:5F:98,Amazon Technologies Inc.
00:26:10,Apacewave Technologies
D0:5F:64:9,Shanghai Luying International Trade Co.
4C:E1:73:A,jvi
00:50:C2:06:3,Ticketmaster Corp
4C:EB:42,Intel Corporate
C0:1C:30,Shenzhen WIFI-3L Technology Co.
00:80:DF,ADC CODENOLL TECHNOLOGY CORP.
48:0B:B2:E,Beijing MFOX technology Co.
6C:DF:FB:D,Nanjing Buruike Electronics Technology Co.
70:B3:D5:81:0,Advice
00:40:9D,DigiBoard
64:C3:D6,Juniper Networks
00:1F:27,Cisco Systems
48:22:18,Shenzhen Yipingfang Network Technology Co.
4C:92:D2,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
00:0A:4C,Molecular Devices Corporation
5C:03:39,HUAWEI TECHNOLOGIES CO.
70:B3:D5:95:9,Zulex International Co.
4C:33:4E,HIGHTECH
8C:1F:64:7F:8,FleetSafe India Private Limited
00:23:5F,Silicon Micro Sensors GmbH
DC:BD:7A,Guangzhou??Shiyuan??Electronic??Technology??Company??Limited
BC:97:40:B,ForoTel
70:2F:86,Marquardt GmbH
2C:D1:41:7,XiaMen 35.com Technology Co
00:08:B0,HUBERSUHNER BKtel GmbH
40:D8:55:08:6,DSP DESIGN
6C:5C:3D:B,Reconova Technologies
CC:47:40,AzureWave Technology Inc.
78:D4:F1:B,Jiangsu byzoro intelligent technology Co.
94:FE:9D,SHENZHEN GONGJIN ELECTRONICS CO.
00:11:E7,WORLDSAT - Texas de France
00:A0:D7,KASTEN CHASE APPLIED RESEARCH
50:C5:8D,Juniper Networks
54:39:DF,HUAWEI TECHNOLOGIES CO.
00:1A:FE,SOFACREAL
B0:B3:53:B,Zoox
00:50:C2:35:8,ALCEA
00:03:5F,Pr??ftechnik Condition Monitoring GmbH  Co. KG
A4:A4:D3,Bluebank Communication Technology Co.Ltd
00:1A:AE,Savant Systems LLC
70:B3:D5:51:7,ISPHER
00:1B:C5:09:1,3green ApS
70:B3:D5:52:3,Tibit Communications
EC:8E:B5,Hewlett Packard
00:1F:5A,Beckwith Electric Co.
AC:A2:13,Shenzhen Bilian electronic CO.
E4:1A:2C,ZPE Systems
00:23:40,MiXTelematics
04:C9:D9,Dish Technologies Corp
00:20:AD,LINQ SYSTEMS
28:C1:3C,Hon Hai Precision Ind. Co.
00:12:BB,Telecommunications Industry Association TR-41 Committee
24:2D:4B,F5 Inc.
8C:1F:64:44:4,Contrive Srl
8C:1F:64:63:6,Europe Trade
00:06:20,Serial System Ltd.
00:50:C2:F4:D,KNOWHOW INFOCOM INC.
FC:65:B3,Huawei Device Co.
5C:E8:EB,Samsung Electronics Co.
94:C5:A6,ITEL MOBILE LIMITED
50:FF:99:7,Honeywell International
00:50:C2:BF:5,AILES ELECTRONICS CO.
A0:AB:51,WEIFANG GOERTEK ELECTRONICS CO.
D4:2C:3D,Sky Light Digital Limited
70:B3:D5:01:C,Kumu Networks
38:3A:21:2,Shenzhen HS Fiber Communication Equipment CO.
00:1A:BC,U4EA Technologies Ltd
F4:5B:73,Wanjiaan Interconnected Technology Co.
F0:6F:CE,Ruckus Wireless
8C:1F:64:30:1,Agar Corporation Inc.
00:0F:9D,DisplayLink (UK) Ltd
5C:87:D8:4,TELFI TECHNOLOGIES PRIVATE LIMITED
00:05:19,Siemens Building Technologies AG
00:02:FB,Baumuller Aulugen-Systemtechnik GmbH
00:50:C2:4C:0,Bio-logic Systems Corp
D4:68:AA,Apple
18:0D:2C,Intelbras
B0:8B:A8,Amazon Technologies Inc.
00:50:00,NEXO COMMUNICATIONS
00:11:4D,Atsumi Electric Co.
70:B3:D5:2C:3,Proterra
E4:41:22,OnePlus Technology (Shenzhen) Co.
00:11:64,ACARD Technology Corp.
00:0F:C3,PalmPalm Technology
00:22:46,Evoc Intelligent Technology Co.
00:20:70,HYNET
00:05:1C,Xnet Technology Corp.
00:22:D1,Albrecht Jung GmbH  Co. KG
F0:5A:09,Samsung Electronics Co.
98:8F:00,Aruba
00:1A:F0,Alcatel-Lucent IPD
00:E0:3B,PROMINET CORPORATION
80:2D:E1,Solarbridge Technologies
E0:89:7E,Apple
20:F8:5E,Delta Electronics
70:B3:D5:28:7,Hypex Electronics BV
00:50:C2:C9:D,Radius Sweden AB
00:1D:42,Nortel Networks
00:01:43,Cisco Systems
70:B3:D5:90:D,Modtronix Engineering
B8:3D:F6,Texas Instruments
70:B3:D5:7F:8,Solvera Lynx d.d.
70:B3:D5:6A:8,Vitsch Electronics
7C:4B:78,Red Sun Synthesis Pte Ltd
00:12:BC,Echolab LLC
50:6F:0C,Sagemcom Broadband SAS
70:B3:D5:5E:6,Mechatronics Systems Private Limited
00:16:FA,ECI Telecom Ltd.
A4:B4:39,Cisco Systems
38:80:DF,Motorola Mobility LLC
00:1D:85,Call Direct Cellular Solutions
00:10:7E,BACHMANN ELECTRONIC GmbH
B4:81:07,SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.
F4:12:DA,zte corporation
00:04:30,Netgem
00:D0:01,VST TECHNOLOGIES
58:DF:59,Cisco Systems
00:01:FD,Digital Voice Systems
70:B3:D5:3C:3,AIMCO
00:01:23,Schneider Electric Japan Holdings Ltd.
00:04:9B,Cisco Systems
5C:CC:FF,Techroutes Network Pvt Ltd
08:A7:C0,Technicolor CH USA Inc.
E8:B3:EF,Fiberhome Telecommunication Technologies Co.
28:02:2E,Apple
00:A0:3B,TOSHIN ELECTRIC CO.
00:50:C2:DA:1,MangoDSP
88:A9:A7:B,TWK-ELEKTRONIK
90:9B:6F,Apple
00:50:C2:7E:3,Progentech Limited
70:B3:D5:65:D,GEGA ELECTRONIQUE
F4:1A:79:7,Avedis Zildjian Company
00:0B:88,Vidisco ltd.
14:5A:83,Logi-D inc
54:E1:40,INGENICO
00:1C:F3,EVS BROADCAST EQUIPMENT
00:50:C2:15:A,Plextek Limited
BC:4E:3C,CORE STAFF CO.
00:11:53,Trident Tek
B4:40:DC,Samsung Electronics Co.
C4:BE:D4,Avaya Inc
EC:A7:B1:2,Annapurna labs
00:60:08,3COM
B4:DB:91,CELESTICA INC.
00:14:DC,Communication System Design  Manufacturing (CSDM)
10:05:E1,Nokia
00:21:B8,Inphi Corporation
00:D0:8D,PHOENIX GROUP
DC:E9:94,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
38:68:DD,INVENTEC CORPORATION
00:1B:C5:0A:C,AVnu Alliance
A4:59:D3:5,Bettear - Accessibility Technologies Development Ltd
70:52:D8,ITEL MOBILE LIMITED
60:21:01,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9C:2F:73,Universal Tiancheng Technology (Beijing) Co.
8C:1F:64:2D:F,Ubotica Technologies
58:85:E9,Realme Chongqing MobileTelecommunications Corp Ltd
70:B3:D5:AA:2,eumig industrie-TV GmbH.
8C:1F:64:98:9,Phe-nX B.V.
00:1A:54,Hip Shing Electronics Ltd.
A8:92:2C,LG Electronics (Mobile Communications)
00:50:C2:F9:1,RE2 Inc
F0:41:C8:9,Shenzhen  Nufilo Electronic Technology Co.
00:0D:26,Primagraphics Limited
2C:1A:05,Cisco Systems
34:13:E8,Intel Corporate
00:08:2D,Indus Teqsite Private Limited
00:02:23,ClickTV
70:B3:D5:60:C,IST ElektronikgesmbH
A0:5D:E7,DIRECTV
00:1D:83,Emitech Corporation
70:B3:D5:8C:0,SenseNL
E0:C2:B7,Masimo Corporation
00:50:C2:7D:F,Private
94:65:9C,Intel Corporate
70:B3:D5:75:C,UPM Technology
7C:C9:26,Wuhan GreeNet Information Service Co.
00:07:8C,Elektronikspecialisten i Borlange AB
0C:BC:9F,Apple
98:34:8C,Teleepoch Ltd
8C:1F:64:37:4,Accord Communications Ltd
00:50:C2:1F:2,Tattile srl
E4:33:AE,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
70:B3:D5:09:F,COMTECH Kft.
7C:7E:F9,eero inc.
00:50:C2:6D:B,Gebhardt Ventilatoren GmbH
BC:16:65,Cisco Systems
00:50:C2:5C:9,Shenzhen Quanlong Technique Co.Ltd
00:12:64,daum electronic gmbh
84:E5:85,EM Microelectronic
70:B3:D5:FB:0,RohdeSchwarz Topex SA
B0:21:6F,HUAWEI TECHNOLOGIES CO.
00:0B:4B,VISIOWAVE SA
00:0A:AE,Rosemount Process Analytical
00:22:BC,JDSU France SAS
00:1E:89,CRFS Limited
9C:F3:AC,Apple
DC:2A:A1,MedHab LLC
00:50:C2:B6:B,Phytec Messtechnik GmbH
00:1D:A4,Hangzhou System Technology CO.
C4:50:9C,Vantiva USA LLC
58:48:49:0,Beijing Zhongyuanyishang Technology Co Ltd
B8:22:4F,SICHUAN TIANYI COMHEART TELECOMCO.
00:1B:94,T.E.M.A. S.p.A.
8C:1F:64:27:D,Pneumax Spa
8C:1F:64:56:6,Ultiroam
00:25:8F,Trident Microsystems
44:D5:F2:D,Shenzhen Nation RFID Technology Co.
D8:5B:2A,Samsung Electronics Co.
8C:1F:64:76:9,Vonamic GmbH
48:DA:35:4,Sphere Com Services Pvt Ltd
00:50:C2:A8:D,Frontier Electronic Systems Corp.
00:09:E6,Cyber Switching Inc.
70:B3:D5:38:2,Naval Group
40:B0:FA,LG Electronics (Mobile Communications)
A0:BB:3E:0,Link Labs
3C:46:A1,Ruckus Wireless
70:B3:D5:83:7,HiDes
B4:A8:2B,Histar Digital Electronics Co.
00:50:C2:B4:6,Mobileye
F8:79:0A,ARRIS Group
2C:0E:3D,SAMSUNG ELECTRO-MECHANICS(THAILAND)
00:1B:C5:03:3,JE Suunnittelu Oy
D4:9A:F6,AzureWave Technologies
00:02:C9,Mellanox Technologies
30:0A:60:E,Imageo s.r.o.
80:1F:12,Microchip Technology Inc.
F8:33:31,Texas Instruments
00:12:92,Griffin Technology
84:4F:03,Ablelink Electronics Ltd
84:71:6A,Huawei Device Co.
3A:BA:37,Cirrent
00:40:40,RING ACCESS
00:25:52,VXi Corporation
58:47:04, Shenzhen Webridge Technology Co.
00:CF:C0,China Mobile Group Device Co.
84:8C:8D,Apple
00:50:01,YAMASHITA SYSTEMS CORP.
BC:F2:AF,devolo AG
90:46:B7,Vadaro Pte Ltd
C4:EE:AE,VSS Monitoring
00:50:C2:89:0,BAE Systems H??gglunds AB
1C:54:E6,Shenzhen Yisheng Technology Co.
70:B3:D5:4F:2,COMPAL ELECTRONICS
48:DA:35:8,Shenzhen Qianhong Technology Co.
18:C3:F4,IEEE Registration Authority
A0:36:BC,ASUSTek COMPUTER INC.
E0:38:2D:D,KEPLER COMMUNICATIONS INC.
00:0F:A8,Photometrics
00:0F:4E,Cellink
40:D8:55:0B:6,Telvent
4C:B7:6D,Novi Security
88:9A:FF,SystemX Co.
CC:5C:DE,China Mobile Group Device Co.
00:18:B9,Cisco Systems
0C:59:9C,Juniper Networks
A4:26:18,Integrated Device Technology (Malaysia) Sdn. Bhd.
40:D8:55:17:5,AHB Systeme GmbH
88:E0:34,Shinwa industries(China) ltd.
00:06:45,Meisei Electric Co. Ltd.
68:2D:83,SHENZHEN DINGHE COMMUNICATION COMPANY
70:B3:D5:82:5,TATTILE SRL
40:D8:55:1D:D,BaOpt Benelux bv
50:0B:91:2,Annapurna labs
98:6D:35:7,Zhejiang Hanshow Technology Co.
60:0A:8C,Shenzhen Sundray Technologies company Limited
04:8F:00,Rong-Paisa Electronics Co.
00:0F:ED,Anam Electronics Co.
08:B4:D2,Intel Corporate
00:14:CA,Key Radio Systems Limited
0C:CD:D3,EASTRIVER TECHNOLOGY CO.
40:D8:55:09:4,Nomad Digital Limited
E0:29:67,HMD Global Oy
4C:FF:12,Fuze Entertainment Co.
60:B4:F7,Plume Design Inc
00:00:7D,Oracle Corporation
38:9F:83,OTN Systems N.V.
68:79:12:6,APPOTRONICS CO.
AC:D3:64,ABB SPA
84:E8:CB,BUFFALO.INC
00:24:68,Sumavision Technologies Co.
00:50:C2:85:9,Nuvation
00:11:A0,Vtech Engineering Canada Ltd
C4:F0:81,HUAWEI TECHNOLOGIES CO.
6C:5C:3D:4,HTI Co.
74:04:F0,Mobiwire Mobiles (NingBo) Co.
70:B3:D5:1A:5,METRONIC APARATURA KONTROLNO - POMIAROWA
70:B3:D5:A5:5,Embest Technology Co.
70:B3:D5:B3:6,Cetitec GmbH
04:FF:08,Huawei Device Co.
00:87:64,Cisco Systems
00:0C:B2,UNION co.
8C:5A:C1,Huawei Device Co.
70:B3:D5:7A:C,Verity Studios AG
74:63:DF,VTS GmbH
D8:24:BD,Cisco Systems
00:02:05,Hitachi Denshi
2C:70:4F,zte corporation
94:B2:CC,PIONEER CORPORATION
00:04:D1,Drew Technologies
00:50:C2:99:B,Bettini srl
A0:21:8B,ACE Antenna Co.
30:09:F9:A,Shenzhen Tencent Computer System Co.
28:CF:08,ESSYS
60:EF:C6,Shenzhen Chima Technologies Co Limited
58:E8:76:B,Annapurna labs
00:0B:08,Pillar Data Systems
90:34:FC,Hon Hai Precision Ind. Co.
70:B3:D5:63:5,Cosylab d.d.
00:12:90,KYOWA Electric  Machinery Corp.
1C:82:59:2,Diatrend Corporation
1C:A0:B8,Hon Hai Precision Ind. Co.
A0:70:99,Beijing Huacan Electronics Co.
00:03:26,Iwasaki Information Systems Co.
70:B3:D5:84:B,QuestHouse
00:1B:80,LORD Corporation
88:AF:7B,Nanjing Powercore Tech Co.
60:D8:19,Hon Hai Precision Ind. Co.
4C:50:F1,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
08:17:35,Cisco Systems
54:10:EC,Microchip Technology Inc.
00:1B:C5:07:6,PLAiR Media
00:0B:1D,LayerZero Power Systems
1C:56:FE,Motorola Mobility LLC
00:0B:DA,EyeCross Co.
00:50:C2:E2:8,Teplovodokhran
00:0F:87,Maxcess International
C0:2B:56,CANDID OPTRONIX PRIVATE LIMITED
AC:B5:66,Renesas Electronics (Penang) Sdn. Bhd.
6C:65:67,BELIMO Automation AG
70:2E:D9,Guangzhou Shiyuan Electronics Co.
6C:DF:FB:0,Shenzhen HDCVT Technology
D0:05:2A,Arcadyan Corporation
00:19:35,DUERR DENTAL AG
48:E2:AD,HUMAX NETWORKS
70:B3:D5:97:E,Public Joint Stock Company Morion
B4:24:E7,Codetek Technology Co.
3C:DC:03:C,WLY
00:14:CC,Zetec
00:0C:A4,Prompttec Product Management GmbH
00:24:26,NOHMI BOSAI LTD.
00:1A:10,LUCENT TRANS ELECTRONICS CO.
40:F3:85:C,Clixxo Broadband Private Limited
8C:1F:64:1C:E,Eiden Co.
00:50:C2:C7:3,Industry Controls
00:50:C2:82:5,Funkwerk Information Technologies Karlsfeld GmbH
8C:1F:64:8B:8,Wien Energie GmbH
0C:84:DC,Hon Hai Precision Ind. Co.
40:AC:BF,Hangzhou Hikvision Digital Technology Co.
70:69:79:7,Intelitech SIA
28:CB:EB,One
20:15:82,Apple
70:B3:D5:9C:D,WEPTECH elektronik GmbH
00:1B:C5:03:1,ADIXEIN LIMITED
CC:22:37:8,Safilo S.p.A.
00:50:C2:E6:5,IB Elektronik GmbH
70:B3:D5:CC:4,Benchmark Electronics BV
00:50:C2:44:6,Micro Technic A-S
B0:B4:48,Texas Instruments
70:B3:D5:9E:9,LiveCopper Inc.
78:CA:83:1,Excelocity Inc.
E8:6C:C7:9,Hangzhou Lanxum Security Technology Co.
